Player,Team,Pos,G2,MP2,G,GS,MP,FG,FGA,FGP,ThPt,ThPtA,ThPtP,TwoPt,TwoPtA,TwoPtP,FT,FTA,FTP,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Breanna Stewart,SEA,F,34,1179,34,34,1179,208,455,.457,45,133,.338,163,322,.506,160,192,.833,40,317,114,42,64,81,82,621
Kiah Stokes,NYL,C,27,650,27,0,650,75,117,.641,0,0,,75,117,.641,37,59,.627,63,201,20,18,38,30,77,187
Shekinna Stricklen,CON,F,28,306,28,0,306,38,104,.365,27,77,.351,11,27,.407,9,14,.643,9,38,15,12,2,4,20,112
Carolyn Swords,NYL,C,34,596,34,34,596,76,133,.571,0,0,,76,133,.571,24,35,.686,55,157,23,7,21,33,73,176
Diana Taurasi,PHO,G,33,984,33,33,984,180,455,.396,89,254,.350,91,201,.453,140,154,.909,6,99,128,31,4,86,99,589
Asia Taylor,CON,F,4,17,4,0,17,3,5,.600,0,0,,3,5,.600,6,7,.857,2,4,3,0,0,1,3,12
Penny Taylor,PHO,F,25,643,25,25,643,102,209,.488,40,101,.396,62,108,.574,68,75,.907,10,94,89,38,11,42,53,312
Alyssa Thomas,CON,F,31,840,31,31,840,130,267,.487,0,0,,130,267,.487,83,131,.634,62,187,70,44,6,75,81,343
Jasmine Thomas,CON,G,34,1091,34,34,1091,150,368,.408,30,101,.297,120,267,.449,68,79,.861,25,140,172,43,12,86,88,398
Krystal Thomas,SEA,C,19,177,19,0,177,11,19,.579,0,0,,11,19,.579,5,7,.714,19,43,2,4,13,9,39,27
Ramu Tokashiki,SEA,F,31,404,31,1,404,60,127,.472,0,1,.000,60,126,.476,45,55,.818,28,76,9,15,4,25,83,165
Kristi Toliver,LAS,G,33,1060,33,33,1060,142,333,.426,81,191,.424,61,142,.430,72,81,.889,12,85,122,28,2,45,58,437
Morgan Tuck,CON,F,26,433,26,3,433,67,162,.414,17,56,.304,50,106,.472,32,45,.711,23,74,29,10,2,25,25,183
Courtney Vandersloot,CHI,G,30,728,30,21,728,96,229,.419,26,74,.351,70,155,.452,66,73,.904,13,80,141,41,4,47,60,284
Kia Vaughn,WAS,C,34,672,34,4,672,97,193,.503,0,0,,97,193,.503,21,28,.750,41,147,21,20,18,32,49,215
Ann Wauters,LAS,C,21,97,21,1,97,12,22,.545,0,0,,12,22,.545,6,8,.750,4,23,9,4,2,7,12,30
Jamie Weisner,WAS,G,7,25,7,0,25,4,9,.444,2,4,.500,2,5,.400,2,2,1.000,1,3,2,0,0,3,5,12
Lindsay Whalen*,MIN,G,32,786,32,32,786,123,240,.513,3,11,.273,120,229,.524,66,74,.892,15,83,123,19,0,46,50,315
